iter	Logloss
0	0.5623412617
1	0.4825141254
2	0.4520542388
3	0.4055018017
4	0.3646986664
5	0.3270840016
6	0.3155582242
7	0.2945203062
8	0.276095631
9	0.260399347
10	0.2561765294
11	0.2359156257
12	0.2300332427
13	0.2249869722
14	0.2225375467
15	0.2206987469
16	0.2173763047
17	0.2151617218
18	0.2108524759
19	0.2058365083
20	0.2037670491
21	0.2004920535
22	0.1973221128
23	0.1940133492
24	0.1932682816
25	0.1870006026
26	0.1864068164
27	0.1853547669
28	0.1841191586
29	0.1826214037
30	0.1817671695
31	0.1815085859
32	0.1807669396
33	0.1803680529
34	0.1791986943
35	0.1783349479
36	0.1779612458
37	0.1752959327
38	0.1739932654
39	0.1736117145
40	0.1732599598
41	0.1729621827
42	0.1726523973
43	0.1723424929
44	0.1705686422
45	0.170098188
46	0.169490305
47	0.1684109675
48	0.1680529123
49	0.1677136429
50	0.1671987323
51	0.1670043039
52	0.1661999329
53	0.1658720854
54	0.1656972497
55	0.1654272823
56	0.1651346851
57	0.1649389528
58	0.1647393678
59	0.1643274999
60	0.163865053
61	0.1636914393
62	0.163348851
63	0.1631246511
64	0.1629836166
65	0.1627668442
66	0.1624243461
67	0.1620565453
68	0.1618550438
69	0.1603682247
70	0.1601603846
71	0.1599451534
72	0.1590541224
73	0.1587289327
74	0.1580741396
75	0.1577678529
76	0.1574887661
77	0.1573060981
78	0.1570731584
79	0.1568228685
80	0.1566469351
81	0.1564834649
82	0.1561637433
83	0.1559403297
84	0.1556937101
85	0.1554592008
86	0.1552372698
87	0.1550083916
88	0.154770316
89	0.1545994568
90	0.1544255326
91	0.154142936
92	0.1539922197
93	0.1537913237
94	0.1535488091
95	0.1534055377
96	0.1531699754
97	0.1528885072
98	0.1527195089
99	0.1525267269
100	0.1523824964
101	0.1521623459
102	0.1520143439
103	0.1517089556
104	0.1515477277
105	0.1513666164
106	0.1512031481
107	0.1507712321
108	0.1505125633
109	0.1503720195
110	0.1501365687
111	0.1499093798
112	0.1497905983
113	0.1496777655
114	0.1495324353
115	0.1493658521
116	0.149232058
117	0.1490348007
118	0.1487646758
119	0.1484558336
120	0.1483430274
121	0.1482344315
122	0.147984621
123	0.1478273516
124	0.1475531986
125	0.1473280985
126	0.1471053894
127	0.1469748863
128	0.1468082226
129	0.1466016291
130	0.1464577439
131	0.1462709838
132	0.1458957675
133	0.1456734124
134	0.1455155749
135	0.1453784232
136	0.1452428665
137	0.1450863313
138	0.1449434658
139	0.1447969273
140	0.1446723757
141	0.144551465
142	0.1444213582
143	0.1442683932
144	0.1441210374
145	0.1439196299
146	0.1437767771
147	0.1436416497
148	0.1435303322
149	0.1433205563
150	0.1431767387
151	0.143036231
152	0.1429144946
153	0.1427359775
154	0.1425767631
155	0.1424176417
156	0.142232108
157	0.1420781361
158	0.1419324331
159	0.1417099502
160	0.1415982459
161	0.1414412862
162	0.1411467407
163	0.1409563591
164	0.1407642331
165	0.140650794
166	0.1404971584
167	0.1403732224
168	0.1401699145
169	0.1400159247
170	0.1398744714
171	0.1396718492
172	0.1394858091
173	0.1393295233
174	0.1392335646
175	0.1391291776
176	0.1389760236
177	0.1387877458
178	0.1386341019
179	0.1384838654
180	0.1383164645
181	0.1381799953
182	0.1378075564
183	0.1376822257
184	0.1375152507
185	0.1374092732
186	0.137264051
187	0.1371285778
188	0.1369875427
189	0.1366687049
190	0.1365538429
191	0.1363640758
192	0.1362421015
193	0.136130092
194	0.1359628482
195	0.1358084881
196	0.135731875
197	0.1355602263
198	0.1353980034
199	0.1352883214
