iter	Passed	Remaining
0	18	3589
1	30	3065
2	43	2870
3	58	2865
4	71	2796
5	86	2785
6	100	2778
7	116	2804
8	133	2842
9	151	2880
10	169	2910
11	188	2951
12	207	2984
13	226	3005
14	245	3026
15	265	3056
16	285	3070
17	304	3078
18	324	3094
19	345	3112
20	365	3112
21	384	3112
22	405	3120
23	424	3116
24	445	3121
25	466	3119
26	486	3116
27	506	3113
28	527	3110
29	547	3100
30	566	3090
31	586	3077
32	605	3065
33	626	3056
34	646	3045
35	665	3032
36	685	3017
37	704	3004
38	724	2992
39	744	2979
40	764	2965
41	784	2949
42	804	2937
43	824	2922
44	844	2910
45	865	2898
46	886	2886
47	908	2875
48	927	2859
49	948	2844
50	967	2826
51	988	2813
52	1008	2798
53	1029	2783
54	1049	2766
55	1069	2749
56	1088	2731
57	1108	2714
58	1127	2695
59	1147	2677
60	1166	2659
61	1187	2642
62	1209	2629
63	1229	2611
64	1248	2593
65	1268	2576
66	1290	2562
67	1311	2546
68	1332	2529
69	1352	2512
70	1373	2495
71	1394	2478
72	1415	2461
73	1434	2442
74	1456	2427
75	1477	2409
76	1497	2391
77	1517	2374
78	1538	2356
79	1558	2337
80	1578	2318
81	1597	2299
82	1617	2279
83	1636	2259
84	1656	2241
85	1675	2221
86	1695	2201
87	1714	2182
88	1735	2164
89	1754	2144
90	1774	2125
91	1795	2107
92	1813	2086
93	1834	2069
94	1855	2050
95	1874	2031
96	1894	2011
97	1914	1992
98	1932	1971
99	1951	1951
100	1970	1931
101	1989	1911
102	2008	1891
103	2027	1871
104	2045	1850
105	2064	1830
106	2084	1811
107	2103	1791
108	2121	1771
109	2139	1750
110	2159	1731
111	2178	1711
112	2197	1691
113	2217	1672
114	2235	1652
115	2254	1632
116	2273	1612
117	2292	1592
118	2312	1573
119	2331	1554
120	2350	1534
121	2368	1514
122	2389	1495
123	2408	1475
124	2428	1456
125	2447	1437
126	2466	1417
127	2486	1398
128	2506	1379
129	2526	1360
130	2544	1340
131	2564	1320
132	2583	1301
133	2603	1282
134	2622	1262
135	2641	1243
136	2661	1223
137	2679	1203
138	2698	1184
139	2717	1164
140	2736	1145
141	2755	1125
142	2774	1105
143	2793	1086
144	2811	1066
145	2830	1047
146	2851	1027
147	2870	1008
148	2888	988
149	2908	969
150	2928	950
151	2946	930
152	2965	911
153	2985	891
154	3005	872
155	3023	852
156	3043	833
157	3063	814
158	3084	795
159	3104	776
160	3123	756
161	3142	737
162	3161	717
163	3180	698
164	3199	678
165	3220	659
166	3239	640
167	3258	620
168	3277	601
169	3297	581
170	3317	562
171	3337	543
172	3357	523
173	3376	504
174	3395	485
175	3413	465
176	3433	446
177	3452	426
178	3471	407
179	3491	387
180	3510	368
181	3529	349
182	3548	329
183	3568	310
184	3589	291
185	3607	271
186	3628	252
187	3648	232
188	3667	213
189	3686	194
190	3705	174
191	3725	155
192	3745	135
193	3765	116
194	3785	97
195	3805	77
196	3823	58
197	3843	38
198	3862	19
199	3881	0
